X,Y,Elevation
-2012355.0,2765325.0,32767
-2012325.0,2765325.0,32767
-2012295.0,2765325.0,32767
-2012265.0,2765325.0,32767
-2012235.0,2765325.0,32767
-2012205.0,2765325.0,32767
-2012175.0,2765325.0,32767
-2012145.0,2765325.0,32767
-2012115.0,2765325.0,32767
-2012085.0,2765325.0,32767
-2012055.0,2765325.0,32767
-2012025.0,2765325.0,32767
-2011995.0,2765325.0,32767
-2011965.0,2765325.0,32767
-2011935.0,2765325.0,32767
-2011905.0,2765325.0,32767
-2011875.0,2765325.0,32767
-2011845.0,2765325.0,32767
-2011815.0,2765325.0,32767
-2011785.0,2765325.0,32767
-2011755.0,2765325.0,32767
-2011725.0,2765325.0,32767
-2011695.0,2765325.0,32767
-2011665.0,2765325.0,32767
-2011635.0,2765325.0,32767
-2011605.0,2765325.0,32767
-2011575.0,2765325.0,32767
-2011545.0,2765325.0,32767
-2011515.0,2765325.0,32767
-2011485.0,2765325.0,32767
-2011455.0,2765325.0,32767
-2011425.0,2765325.0,32767
-2011395.0,2765325.0,32767
-2011365.0,2765325.0,32767
-2011335.0,2765325.0,32767
-2011305.0,2765325.0,32767
-2011275.0,2765325.0,32767
-2011245.0,2765325.0,32767
-2011215.0,2765325.0,32767
-2011185.0,2765325.0,32767
-2011155.0,2765325.0,32767
-2011125.0,2765325.0,32767
-2011095.0,2765325.0,32767
-2011065.0,2765325.0,32767
-2011035.0,2765325.0,32767
-2011005.0,2765325.0,32767
-2010975.0,2765325.0,32767
-2010945.0,2765325.0,32767
-2010915.0,2765325.0,32767
-2010885.0,2765325.0,32767
-2010855.0,2765325.0,32767
-2010825.0,2765325.0,32767
-2010795.0,2765325.0,32767
-2010765.0,2765325.0,32767
-2010735.0,2765325.0,32767
-2010705.0,2765325.0,32767
-2010675.0,2765325.0,32767
-2010645.0,2765325.0,547
-2010615.0,2765325.0,560
-2010585.0,2765325.0,572
-2010555.0,2765325.0,32767
-2010525.0,2765325.0,32767
-2010495.0,2765325.0,32767
-2010465.0,2765325.0,32767
-2010435.0,2765325.0,32767
-2010405.0,2765325.0,32767
-2010375.0,2765325.0,32767
-2010345.0,2765325.0,32767
-2010315.0,2765325.0,32767
-2010285.0,2765325.0,32767
-2010255.0,2765325.0,32767
-2010225.0,2765325.0,32767
-2010195.0,2765325.0,32767
-2010165.0,2765325.0,32767
-2010135.0,2765325.0,32767
-2010105.0,2765325.0,32767
-2010075.0,2765325.0,32767
-2010045.0,2765325.0,32767
-2010015.0,2765325.0,32767
-2009985.0,2765325.0,32767
-2009955.0,2765325.0,32767
-2009925.0,2765325.0,32767
-2009895.0,2765325.0,32767
-2009865.0,2765325.0,32767
-2009835.0,2765325.0,32767
-2009805.0,2765325.0,32767
-2009775.0,2765325.0,32767
-2009745.0,2765325.0,32767
-2009715.0,2765325.0,32767
-2009685.0,2765325.0,32767
-2009655.0,2765325.0,32767
-2009625.0,2765325.0,32767
-2009595.0,2765325.0,32767
-2009565.0,2765325.0,32767
-2009535.0,2765325.0,32767
-2009505.0,2765325.0,32767
-2009475.0,2765325.0,32767
-2009445.0,2765325.0,32767
-2009415.0,2765325.0,32767
-2009385.0,2765325.0,32767
-2009355.0,2765325.0,32767
-2009325.0,2765325.0,32767
-2009295.0,2765325.0,32767
-2009265.0,2765325.0,32767
-2009235.0,2765325.0,32767
-2009205.0,2765325.0,32767
-2009175.0,2765325.0,32767
-2009145.0,2765325.0,32767
-2009115.0,2765325.0,32767
-2009085.0,2765325.0,32767
-2009055.0,2765325.0,32767
-2009025.0,2765325.0,32767
-2008995.0,2765325.0,32767
-2008965.0,2765325.0,32767
-2008935.0,2765325.0,32767
-2008905.0,2765325.0,32767
-2008875.0,2765325.0,32767
-2008845.0,2765325.0,32767
-2008815.0,2765325.0,32767
-2008785.0,2765325.0,32767
-2008755.0,2765325.0,32767
-2008725.0,2765325.0,32767
-2008695.0,2765325.0,32767
-2008665.0,2765325.0,32767
-2008635.0,2765325.0,32767
-2008605.0,2765325.0,32767
-2008575.0,2765325.0,32767
-2008545.0,2765325.0,32767
-2008515.0,2765325.0,32767
-2008485.0,2765325.0,32767
-2008455.0,2765325.0,32767
-2008425.0,2765325.0,32767
-2008395.0,2765325.0,32767
-2008365.0,2765325.0,32767
-2008335.0,2765325.0,32767
-2008305.0,2765325.0,32767
-2008275.0,2765325.0,32767
-2008245.0,2765325.0,32767
-2008215.0,2765325.0,32767
-2008185.0,2765325.0,32767
-2008155.0,2765325.0,32767
-2008125.0,2765325.0,32767
-2008095.0,2765325.0,32767
-2008065.0,2765325.0,32767
-2008035.0,2765325.0,32767
-2008005.0,2765325.0,32767
-2007975.0,2765325.0,32767
-2007945.0,2765325.0,32767
-2007915.0,2765325.0,32767
-2007885.0,2765325.0,32767
-2007855.0,2765325.0,32767
-2007825.0,2765325.0,32767
-2007795.0,2765325.0,32767
-2007765.0,2765325.0,32767
-2007735.0,2765325.0,32767
-2007705.0,2765325.0,32767
-2007675.0,2765325.0,32767
-2007645.0,2765325.0,32767
-2007615.0,2765325.0,32767
-2007585.0,2765325.0,32767
-2007555.0,2765325.0,32767
-2007525.0,2765325.0,32767
-2007495.0,2765325.0,32767
-2007465.0,2765325.0,32767
-2007435.0,2765325.0,32767
-2007405.0,2765325.0,32767
-2007375.0,2765325.0,32767
-2007345.0,2765325.0,32767
-2007315.0,2765325.0,32767
-2007285.0,2765325.0,32767
-2007255.0,2765325.0,32767
-2007225.0,2765325.0,32767
-2007195.0,2765325.0,32767
-2007165.0,2765325.0,32767
-2007135.0,2765325.0,32767
-2007105.0,2765325.0,32767
-2007075.0,2765325.0,32767
-2007045.0,2765325.0,32767
-2007015.0,2765325.0,32767
-2006985.0,2765325.0,32767
-2006955.0,2765325.0,32767
-2006925.0,2765325.0,32767
-2006895.0,2765325.0,32767
-2006865.0,2765325.0,32767
-2006835.0,2765325.0,32767
-2006805.0,2765325.0,32767
-2006775.0,2765325.0,32767
-2006745.0,2765325.0,32767
-2006715.0,2765325.0,32767
-2006685.0,2765325.0,32767
-2006655.0,2765325.0,32767
-2006625.0,2765325.0,32767
-2006595.0,2765325.0,32767
-2006565.0,2765325.0,32767
-2006535.0,2765325.0,32767
-2006505.0,2765325.0,32767
-2006475.0,2765325.0,32767
-2006445.0,2765325.0,32767
-2006415.0,2765325.0,32767
-2006385.0,2765325.0,32767
-2006355.0,2765325.0,32767
